Sample Filename	Customer	BDI Sample Number	Sample ID	Sample ID	Location	Sample Comments
5509624524876041627213_K17_SECORE-149.CEL	SECORE	323010530	SECORE-149	SECORE-149	Piscadera Bay	
5509624524876041627213_K19_SECORE-150.CEL	SECORE	323010531	SECORE-150	SECORE-150	Piscadera Bay	
5509624524876041627213_K21_ZK-1.CEL	SECORE	323010532	ZK-1	ZK-1	Zakito	
5509624524876041627213_K23_ZK-2.CEL	SECORE	323010533	ZK-2	ZK-2	Zakito	
5509624524876041627213_M01_ZK-3.CEL	SECORE	323010534	ZK-3	ZK-3	Zakito	
5509624524876041627213_M03_ZK-4.CEL	SECORE	323010535	ZK-4	ZK-4	Water Factory	
5509624524876041627213_M05_ZK-5.CEL	SECORE	323010536	ZK-5	ZK-5	Double Reef	
5509624524876041627213_M07_JT-6.CEL	SECORE	323010537	JT-6	JT-6	Jan Thiel	
5509624524876041627213_M09_JT-7.CEL	SECORE	323010538	JT-7	JT-7	Jan Thiel	
5509624524876041627213_M11_JT-8.CEL	SECORE	323010539	JT-8	JT-8	Jan Thiel	
5509624524876041627213_M13_JT-9.CEL	SECORE	323010540	JT-9	JT-9	Jan Thiel	
5509624524876041627213_M15_JT-10.CEL	SECORE	323010541	JT-10	JT-10	Jan Thiel	
5509624524876041627213_M17_DAW-AC5.CEL	SECORE	323010542	DAW-AC5	DAW-AC5	Double Reef	
5509624524876041627213_M19_PIET-1.CEL	SECORE	323010543	PIET-1	PIET-1	Pietermaai	
5509624524876041627213_M21_PIET-2.CEL	SECORE	323010544	PIET-2	PIET-2	Pietermaai	
5509624524876041627213_M23_PIET-3.CEL	SECORE	323010545	PIET-3	PIET-3	Pietermaai	
5509624524876041627213_O01_PIET-4.CEL	SECORE	323010546	PIET-4	PIET-4	Pietermaai	
5509624524876041627213_O03_PIET-5.CEL	SECORE	323010547	PIET-5	PIET-5	Pietermaai	
5509624524876041627213_O05_SAND-1.CEL	SECORE	323010548	SAND-1	SAND-1	Eel Valley	
5509624524876041627213_O07_SAND-2.CEL	SECORE	323010549	SAND-2	SAND-2	Eel Valley	
5509624524876041627213_O09_SAND-3.CEL	SECORE	323010550	SAND-3	SAND-3	Eel Valley	
5509624524876041627213_O11_SAND-4.CEL	SECORE	323010551	SAND-4	SAND-4	Eel Valley	
5509624524876041627213_O13_SAND-5.CEL	SECORE	323010552	SAND-5	SAND-5	Eel Valley	
5509624524876041627213_O15_Blank_1.CEL	SECORE	323010553	Blank_1	Blank_1		
5509624524876041627213_O17_Blank_2.CEL	SECORE	323010554	Blank_2	Blank_2		
5509624524876041627213_O19_Blank_3.CEL	SECORE	323010555	Blank_3	Blank_3		
5509624524876041627213_O21_Blank_4.CEL	SECORE	323010556	Blank_4	Blank_4		
5509624524876041627213_O23_Blank_5.CEL	SECORE	323010557	Blank_5	Blank_5		

